locality,builtup_area_sqft,total_price,price_currency,property_status,new/resale,price_negotiable,description,security_deposit,facing,furnished,property_age,gymnasium,children's_play_area,club_house,lift(s),swimming_pool,landscaped_gardens,rain_water_harvesting,maintenance_staff,jogging_track,sports_facility,car_parking,24_x_7_security,full_power_backup,locality_score,project_score,builder_experience,indoor_games,atm,intercom,school,pincode,multipurpose_room,vaastu_compliant,cafeteria,staff_quarter,hospital,golf_course
Raj Nagar Extension,927.0,5149000.0,INR,1.0,1,0,"927 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 44.0 mt length 21.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are Aryan public school, MODERN NATIONAL PUBLIC SCHOOL, and Schiller Institute Senior Secondary School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,927.0,5121000.0,INR,1.0,1,0,"927 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 44.0 mt length 21.0 mt width. Price. The plot is East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,925.0,5211000.0,INR,1.0,1,0,"925 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 44.0 mt length 21.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,927.0,5353000.0,INR,1.0,1,0,"927 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 44.0 mt length 21.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The Chef's Kitchen, AAWISHKAR THE SCHOOL, and Primary school noornagar, ghaziabad",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1080.0,6231000.0,INR,1.0,1,0,"1080 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 45.0 mt length 24.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1080.0,6175000.0,INR,1.0,1,0,"GDA approved ploting in rajnagar extension geted society light and road complete More About This Property 1080 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 45.0 mt length 24.0 mt width. Price. The plot is North-West facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1080.0,5985000.0,INR,1.0,1,0,"1080 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 45.0 mt length 24.0 mt width. Price. The plot is North-West facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1125.0,6240000.0,INR,1.0,1,0,"1125 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 45.0 mt length 25.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,930.0,5095000.0,INR,1.0,1,0,"930 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 44.0 mt length 21.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The Chef's Kitchen, AAWISHKAR THE SCHOOL, and Primary school noornagar, ghaziabad",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1081.0,6300000.0,INR,1.0,1,0,"1081 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 45.0 mt length 24.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 5. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1125.0,6251000.0,INR,0.0,1,0,"A plot is available for sale in Raj Nagar Extension, Ghaziabad. It has an area of 1125 sqft. The property is available at a price of Rs. 62.51 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1125.0,6230000.0,INR,0.0,1,0,"A plot is available at a prime location in Raj Nagar Extension. It has an area of 1125 sqft and is priced at Rs. 62.30 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,north,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,927.0,5151000.0,INR,1.0,1,0,"This plot is situated in Raj Nagar Extension. It has an area of 927 sqft. The property is available at a price of Rs. 51.51 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1125.0,6350000.0,INR,1.0,1,0,"A plot is available at a prime location in Raj Nagar Extension. It has a salable area of 1125 sqft and is available at a price of Rs. 5,644 per sqft. Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1125.0,6225000.0,INR,0.0,1,0,"GDA Approved gated society at 100 feet road in Raj nagar Extn., Ghaziabad More About This Property 125 Square yard Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 14.0 mt length 9.0 mt width. Price. The plot is East facing. The width of the facing road is 10.0 mt. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1125.0,6235000.0,INR,0.0,1,0,"GDA APPROVED GATED SOCIETY AT 100 FEET ROAD AT RAJ NAGAR EXTN GHAZIABAD More About This Property 125 Square yard Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 14.0 mt length 9.0 mt width. Price. The plot is North facing. The width of the facing road is 10.0 mt. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,north,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1125.0,6241000.0,INR,0.0,1,0,"GDA approved Gated Society, Raj Nagar Extn. at 100 feet Road More About This Property 125 Square yard Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 14.0 mt length 9.0 mt width. Price. This is a corner plot. The plot is North facing. The width of the facing road is 10.0 mt. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,north,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,900.0,1450000.0,INR,1.0,1,0,"900 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 43.0 mt length 21.0 mt width. Price. The plot is North-East facing. There are 1 open sides for this plot. The width of the facing road is 20.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1125.0,6211000.0,INR,0.0,1,0,"125 Square yard Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 14.0 mt length 9.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,927.0,5151000.0,INR,1.0,1,0,"103 Square yard Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 13.0 mt length 8.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1080.0,6600000.0,INR,1.0,1,0,"A plot property is available for sale in Raj Nagar Extension, Ghaziabad. It has an area of 1080 sqft. The property is available at a price of Rs. 66.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,927.0,5655000.0,INR,1.0,1,0,"It has an area of 927 sqft and is priced at Rs. 56.55 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,927.0,5550000.0,INR,1.0,1,0,"A plot property is available for sale in Raj Nagar Extension, Ghaziabad. It has an area of 927 sqft. The property is available at a price of Rs. 55.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
12 Greater Noida West Link Road,300.0,4500000.0,INR,,1,1,"This plot is available for sale and is located in the heart of 12 Greater Noida West Link Road. It has an area of 300 sqft. The property is available at a price of Rs. 45.00 lac (negotiable). The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Crossing Republik,2025.0,9450000.0,INR,,0,0,"A plot is available for sale in Ansal API Aquapolis, Crossing Republik, Ghaziabad. The amenities include club house, sports facility, indoor games, hospital, staff quarter, gymnasium, power backup, rain water harvesting, lift available and car parking. Its entry is southwest facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,southwest,0,0,1,1,1,1,1,0,1.0,1.0,1,1,1.0,1,1,,8.8,55.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,
Crossing Republik,1638.0,7644000.0,INR,,0,0,"A plot is available at a prime location in Ansal API Aquapolis. It has an area of 1638 sqft and is priced at Rs. 76.44 lac . The amenities include cctv, car parking, intercom, children's play area, staff quarter, reserved parking, gymnasium, swimming pool, service lift and 24 x 7 security. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,northeast,0,0,1,1,1,1,1,0,1.0,1.0,1,1,1.0,1,1,,8.8,55.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,
Dasna,630.0,1120000.0,INR,1.0,1,0,"Plots are available for sale in Dasna, Ghaziabad. It has an area of 630 sqft and is priced at Rs. 11.20 lac . It is facing northeast direction. The property is available on freehold. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details.",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,7.2,,,,,,,,,,,,,
SHAKTI KHAND 4,1250.0,15500000.0,INR,1.0,0,1,"This plot is situated in SHAKTI KHAND 4, Ghaziabad. It has an area of 1250 sqft and is priced at Rs. 1.55 cr (negotiable). It is east facing property. The property is available on freehold. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,25,0,1,0,0,0,0,1.0,1.0,0,1,1.0,1,1,,,,,1.0,,1.0,1.0,,1.0,,,1.0,
Govindpuram,450.0,600000.0,INR,1.0,1,0,"Residential Plot available for sale in Eastern Peripheral Expressway On Nh-24, Govindpuram, Ghaziabad. Available amenities are: Gym, Garden. Plot has 450 square_feet area It is 1 years old. Property is inside a gated community.",1,north,0,0,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
N T P C Dadri Road,200.0,5000000.0,INR,,1,1,"This plot is situated in N T P C Dadri Road. It has an area of 200 sqft and is priced at Rs. 50.00 lac (negotiable). The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
"GYAN KHAND - 1, INDIRAPURAM",1216.0,16500000.0,INR,1.0,0,1,"A plot property is available for sale in GYAN KHAND - 1, INDIRAPURAM, Ghaziabad. It has an area of 1216 sqft and is priced at Rs. 1.65 cr (negotiable). One of the major USPs of the property is that it is a road facing property. The property is available on freehold. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact us for more details. ",1,west,0,25,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Ghaziabad,500.0,4000000.0,INR,,1,1,"This plot is situated in Ghaziabad. It has an area of 500 sqft and is priced at Rs. 40.00 lac (negotiable). The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,927.0,5148000.0,INR,1.0,1,0,"A plot property is available for sale in Raj Nagar Extension, Ghaziabad. It has a salable area of 927 sqft and is available at a price of Rs. 5,553 per sqft. It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Niti Khand,3434.0,60000000.0,INR,,0,1,"Niti Khand, Ghaziabad, 319 sqmtr residential plot available for sale, in main location of indirapuram. Construction allowed ground floor to 3rd floor. In front of 80foota road.
All amenities like, school, hospitals, banks, atms, malls, institutional centers, on walking distance.",1,east,0,0,0,0,0,0,0,0,,,0,0,1.0,1,1,,,,,,,,,,,,,,
Niti Khand,2368.0,30000000.0,INR,,0,1,"A plot is available at a prime location in SVP Group Park View I. It has an area of 2368 sqft and is priced at Rs. 3.00 cr (negotiable). It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,east,0,0,1,0,1,1,1,0,1.0,,1,0,1.0,1,1,9.3,8.5,23.0,,,,,,,1.0,,1.0,,
Niti Khand II,4090.0,72500000.0,INR,1.0,0,1,"It has an area of 4090 sqft. The property is available at a price of Rs. 7.25 cr (negotiable). It is a road facing property. The property is available on freehold. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,west,0,14,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Siddhartha Vihar,900.0,1210000.0,INR,1.0,1,0,"This plot is situated in Siddhartha Vihar. It is facing north direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,north,0,3,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Dasna,2152.0,10039080.0,INR,0.0,1,0,"A plot property is available for sale in Aditya Builders Pune World City, Dasna, Ghaziabad. It has an area of 2152 sqft. The property is available at a price of Rs. 1.00 cr . The amenities include children's play area, power backup, community hall, sewage treatment plant, indoor games, service lift, cycling & jogging track, multipurpose room, 24x7_water_supply and shopping mall. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,,0,0,1,1,1,1,1,1,1.0,1.0,1,1,1.0,1,1,7.2,,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Dasna,1197.0,5584005.0,INR,0.0,1,0,"A plot is available for sale in Aditya Builders Pune World City, Dasna, Ghaziabad. It has an area of 1197 sqft. The property is available at a price of Rs. 55.84 lac . It has multipurpose room as well as atm. The project also has sports facility, landscaped gardens, 24 x 7 security, landscape garden and tree planting, conference room, cycling & jogging track, lift available and visitor parking. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,,0,0,1,1,1,1,1,1,1.0,1.0,1,1,1.0,1,1,7.2,,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Dasna,1377.0,4436694.0,INR,1.0,1,0,"This plot is available for sale and is located in Aditya GZB Park Town, one of the most prestigious projects of Dasna. It has an area of 1377 sqft and is priced at Rs. 44.37 lac . It has recreation facilities as well as landscape garden and tree planting. The project also has rain water harvesting, maintenance staff, 24 x 7 security, jogging track, storm water drains, gated community, power backup and sewage treatment plant. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Dasna,1205.0,3882510.0,INR,1.0,1,0,"A plot property is available for sale in Aditya GZB Park Town, Dasna, Ghaziabad. It has sewage treatment plant as well as gated community. The project also has power backup, recreation facilities, landscape garden and tree planting, 24 x 7 security, maintenance staff, storm water drains, access controlled entry and exit and jogging track. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Dasna,1550.0,4994100.0,INR,1.0,1,0,"It has an area of 1550 sqft. The property is available at a price of Rs. 49.94 lac . The amenities include maintenance staff, landscape garden and tree planting, rain water harvesting, recreation facilities, sewage treatment plant, 24 x 7 security, storm water drains, power backup, gated community and jogging track. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Dasna,1459.0,4700898.0,INR,1.0,1,0,"A plot is available for sale in Aditya GZB Park Town, Dasna, Ghaziabad. It has an area of 1459 sqft and is priced at Rs. 47.01 lac . It has power backup as well as maintenance staff. The project also has 24 x 7 security, sewage treatment plant, rain water harvesting, access controlled entry and exit, landscape garden and tree planting, recreation facilities, storm water drains and gated community. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact for more details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Dasna,1295.0,4172490.0,INR,1.0,1,0,"A plot is available for sale in Aditya GZB Park Town, Dasna, Ghaziabad. It has a salable area of 1295 sqft and is available at a price of Rs. 3,222 per sqft. The amenities include 24 x 7 security, storm water drains, jogging track, rain water harvesting, landscape garden and tree planting, access controlled entry and exit, recreation facilities, gated community, power backup and sewage treatment plant. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Dasna,1356.0,4369032.0,INR,1.0,1,0,"A plot is available for sale in Aditya GZB Park Town, Dasna, Ghaziabad. It has a salable area of 1356 sqft and is available at a price of Rs. 3,222 per sqft. The amenities include sewage treatment plant, landscape garden and tree planting, power backup, gated community, rain water harvesting, 24 x 7 security, maintenance staff, storm water drains, recreation facilities and access controlled entry and exit. The society is well connected by different modes of transportation. Kindly call us for details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Dasna,2340.0,7539480.0,INR,1.0,1,0,"This plot is situated in Aditya GZB Park Town, Dasna. It has an area of 2340 sqft and is priced at Rs. 75.39 lac . It has recreation facilities as well as access controlled entry and exit. The project also has power backup, storm water drains, landscape garden and tree planting, maintenance staff, sewage treatment plant, jogging track, gated community and 24 x 7 security. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Dasna,1898.0,6115356.0,INR,1.0,1,0,"A plot is available at a prime location in Aditya GZB Park Town. It has an area of 1898 sqft and is priced at Rs. 61.15 lac . It has recreation facilities as well as sewage treatment plant. The project also has gated community, storm water drains, landscape garden and tree planting, maintenance staff, access controlled entry and exit, jogging track, power backup and rain water harvesting. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Dasna,1431.0,4610682.0,INR,1.0,1,0,"A plot property is available for sale in Aditya GZB Park Town, Dasna, Ghaziabad. It has an area of 1431 sqft and is priced at Rs. 46.11 lac . It has access controlled entry and exit as well as gated community. The project also has landscape garden and tree planting, rain water harvesting, sewage treatment plant, maintenance staff, 24 x 7 security, storm water drains, power backup and jogging track. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Lal Kuan,540.0,750000.0,INR,,0,1,"This plot is available for sale and is located in Royal shape infratech Highway Homes, one of the most prestigious projects of Lal Kuan. It has a salable area of 540 sqft and is available at a price of Rs. 1,388 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,1.0,1,1,,,,,1.0,,1.0,1.0,,1.0,,,1.0,
Lal Kuan,495.0,687000.0,INR,,0,1,"This plot is available for sale and is located in Satayam Sivam Sundram Royal City, one of the most prestigious projects of Lal Kuan. It has an area of 495 sqft and is priced at Rs. 6.87 lac (negotiable). It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,east,0,0,0,1,0,0,0,0,,,0,0,1.0,1,1,7.4,,2022.0,,1.0,,1.0,1.0,,1.0,,,1.0,
Lal Kuan,450.0,625000.0,INR,,0,1,"A plot property is available for sale in Lal Kuan, Ghaziabad. It has a salable area of 450 sqft and is available at a price of Rs. 1,388 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,0,1,0,0,0,0,0,,,1,0,1.0,1,1,,,,,1.0,,1.0,1.0,,1.0,,,1.0,
Lal Kuan,630.0,875000.0,INR,,0,1,"A plot is available at a prime location in Royal shape infratech Highway Homes. It has a salable area of 630 sqft and is available at a price of Rs. 1,388 per sqft. Its entry is east facing. The society is well connected by different modes of transportation. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,,1.0,1,1,1.0,1,1,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
Lal Kuan,540.0,1989900.0,INR,1.0,1,0,"A plot is available at a prime location in Sundaram Construction SHRI NATH JI HOMES. It has an area of 540 sqft. The property is available at a price of Rs. 19.90 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,,0,1,0,0,0,0,0,0,,,0,0,,0,0,7.4,,,,,,,,,,,,,
Lal Kuan,369.0,1360134.0,INR,1.0,1,0,"This plot is situated in Sundaram Construction SHRI NATH JI HOMES, Lal Kuan. It has an area of 369 sqft. The property is available at a price of Rs. 13.60 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,,0,1,0,0,0,0,0,0,,,0,0,,0,0,7.4,,,,,,,,,,,,,
Lal Kuan,450.0,1660050.0,INR,1.0,1,0,"This plot is situated in Sundaram Construction SHRI NATH JI HOMES, Lal Kuan. It has an area of 450 sqft. The property is available at a price of Rs. 16.60 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,,0,1,0,0,0,0,0,0,,,0,0,,0,0,7.4,,,,,,,,,,,,,
Lal Kuan,495.0,1830015.0,INR,1.0,1,0,"This plot is situated in Sundaram Construction SHRI NATH JI HOMES, Lal Kuan. It has an area of 495 sqft and is priced at Rs. 18.30 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,,0,1,0,0,0,0,0,0,,,0,0,,0,0,7.4,,,,,,,,,,,,,
